日期,星期,是否營業,備註,商品筆數,淨銷售數量,淨銷售額
2026-06-01,星期一,未營業,無上傳檔案,0,0.0,0.0
2026-06-02,星期二,未營業,無上傳檔案,0,0.0,0.0
2026-06-03,星期三,未營業,當日檔案內容為0(無銷售紀錄),0,0.0,0.0
2026-06-04,星期四,未營業,當日檔案內容為0(無銷售紀錄),0,0.0,0.0
2026-06-05,星期五,營業,,98,423.0,134816.0
2026-06-06,星期六,營業,,216,1016.0,296917.0
2026-06-07,星期日,營業,,251,1318.0,379613.0
2026-06-08,星期一,營業,,94,409.0,91759.0
2026-06-09,星期二,營業,,56,94.0,21852.0
2026-06-10,星期三,營業,,103,313.0,106403.0
2026-06-11,星期四,營業,,88,165.0,41231.0
2026-06-12,星期五,營業,,125,274.0,62820.0
2026-06-13,星期六,營業,,233,1460.0,322183.0
2026-06-14,星期日,營業,,199,878.0,228476.0
2026-06-15,星期一,營業,,98,228.0,61217.0
2026-06-16,星期二,營業,,91,180.0,46635.0
2026-06-17,星期三,營業,,116,263.0,54069.0
2026-06-18,星期四,營業,,132,335.0,104096.0
2026-06-19,星期五,營業,,223,1071.0,255546.0
2026-06-20,星期六,營業,,247,1197.0,286703.0
2026-06-21,星期日,營業,,214,1336.0,277549.0
2026-06-22,星期一,營業,,110,315.0,83513.0
2026-06-23,星期二,營業,,111,255.0,54945.0
2026-06-24,星期三,營業,,100,220.0,58405.0
2026-06-25,星期四,營業,,54,93.0,25834.0
2026-06-26,星期五,未營業,當日檔案內容為0(無銷售紀錄),0,0.0,0.0
2026-06-27,星期六,營業,,174,571.0,162539.0
2026-06-28,星期日,營業,,191,747.0,188825.0
2026-06-29,星期一,營業,,101,665.0,105305.0
2026-06-30,星期二,營業,,98,201.0,83426.0
2026-07-01,星期三,營業,,117,430.0,83738.0
2026-07-02,星期四,營業,,90,180.0,43116.0
2026-07-03,星期五,營業,,121,419.0,97836.0
2026-07-04,星期六,營業,,199,906.0,427350.0
2026-07-05,星期日,營業,,195,633.0,172969.0
2026-07-06,星期一,營業,,115,289.0,74484.0
2026-07-07,星期二,營業,,91,159.0,33315.0
2026-07-08,星期三,營業,,120,335.0,81984.0
2026-07-09,星期四,營業,,78,128.0,28593.0
2026-07-10,星期五,營業,,98,244.0,71215.0
2026-07-11,星期六,未營業,無上傳檔案,0,0.0,0.0
2026-07-12,星期日,營業,,172,644.0,208476.0
2026-07-13,星期一,營業,,121,260.0,71675.0
2026-07-14,星期二,營業,,92,200.0,53817.0
2026-07-15,星期三,營業,,112,208.0,46094.0
2026-07-16,星期四,營業,,86,184.0,57762.0
2026-07-17,星期五,營業,,34,225.0,57644.0
2026-07-18,星期六,營業,,201,803.0,200289.0
2026-07-19,星期日,營業,,178,567.0,166145.0
2026-07-20,星期一,營業,,113,224.0,67824.0
2026-07-21,星期二,營業,,87,161.0,41088.0
2026-07-22,星期三,營業,,123,285.0,68976.0
2026-07-23,星期四,營業,,115,266.0,62660.0
2026-07-24,星期五,營業,,139,323.0,84056.0
2026-07-25,星期六,營業,,188,562.0,170656.0
2026-07-26,星期日,營業,,186,844.0,235117.0
2026-07-27,星期一,營業,,106,220.0,50557.0
2026-07-28,星期二,營業,,24,219.0,49439.0
2026-07-29,星期三,營業,,119,224.0,58781.0
2026-07-30,星期四,營業,,74,125.0,31259.0
2026-07-31,星期五,營業,,102,235.0,86396.0
2026-08-01,星期六,營業,,214,890.0,201594.0
2026-08-02,星期日,營業,,190,664.0,165083.0
2026-08-03,星期一,營業,,79,176.0,54745.0
2026-08-04,星期二,營業,,74,148.0,44655.0
2026-08-05,星期三,營業,,71,163.0,35642.0
2026-08-06,星期四,營業,,103,224.0,77755.0
2026-08-07,星期五,營業,,116,303.0,78100.0
2026-08-08,星期六,營業,,179,597.0,190817.0
2026-08-09,星期日,營業,,170,648.0,140742.0
2026-08-10,星期一,營業,POS商品銷售總表未產生，數字僅含Klook兌換,4,12.0,5164.0
2026-08-11,星期二,營業,,107,220.0,71932.0
2026-08-12,星期三,營業,,126,399.0,153530.0
2026-08-13,星期四,營業,,105,218.0,52999.0
2026-08-14,星期五,營業,,109,314.0,73670.0
